znamka,model,prevozeni_kilometri,gorivo,velikost_motorja,kW,cena
Volkswagen,Sharan,276000,diesel,1968,85,9000
Volkswagen,Passat,260000,diesel,1896,77,4790
Volkswagen,Golf,50000,bencinski,1984,169,25250
Volvo,V40,104000,diesel,1560,84,10970
Volvo,V70,211000,bencinski,1969,180,13500
Volvo,S60,316076,diesel,2401,120,3000
Volvo,V50,310000,diesel,1998,100,2500
Volvo,V40,119435,diesel,1560,84,12190
Volvo,V40,110270,diesel,1560,84,13850
Volvo,V60,123000,diesel,1560,84,10490
Volvo,V60,96552,diesel,1969,88,15680
Volvo,S60,168000,diesel,1984,120,11500
Volvo,C30,124000,bencinski,1798,92,4200
Volvo,S80,197125,diesel,2400,151,15790
Volvo,V90,15856,diesel,1969,173,52500
Volvo,XC40,10500,diesel,1969,140,39990
Volvo,V60,142668,diesel,1984,100,12990
Volvo,V70,272086,diesel,2400,120,6170
Volvo,V50,229800,diesel,1998,100,1900
Volvo,V60,131681,diesel,1984,100,126900
Volvo,XC60,200000,diesel,1984,100,13100
Volvo,S80,292000,diesel,2400,136,4400
Volvo,V40,100217,diesel,1969,88,12860
Volvo,XC60,84207,diesel,1969,110,26999
Volvo,S40,244399,diesel,1560,80,3490
Volvo,XC90,26272,diesel,1969,173,57999
Volvo,V60,265000,bencinski,1595,132,13999
Volvo,V70,136203,diesel,2400,158,19999
Volvo,V70,136203,diesel,2400,158,19999
Volvo,C30,178500,diesel,1984,110,8250
Volvo,V50,299000,diesel,1998,100,1980
Volvo,XC60,130000,diesel,1969,133,20990
Volvo,V60,179000,diesel,1984,120,11900
Volvo,XC90,62396,diesel,1969,173,47900
Volvo,V70,154214,diesel,1969,110,12990
Volvo,V70,246412,diesel,1984,120,8770
Volvo,V40,122000,diesel,1560,84,10890
Volvo,V60,111000,diesel,1984,120,12599
Volvo,XC60,142003,diesel,2400,140,21280
Volvo,S60,132345,diesel,1560,84,11999
Volvo,V40,74210,diesel,1969,88,17999
Volvo,V60,111210,diesel,1969,133,14999
Volvo,V60,111210,diesel,1969,133,14999
Volvo,XC60,143323,diesel,2400,120,17999
Volvo,XC60,143323,diesel,2400,120,17999
Volvo,XC90,99000,diesel,1969,165,42900
Volvo,XC70,138710,diesel,1969,133,19999
Volvo,V60,99690,diesel,1969,140,25999
